date,value
"(1854,7,19)",1
"(1854,7,20)",1
"(1854,7,21)",1
"(1854,7,22)",0
"(1854,7,23)",1
"(1854,7,24)",1
"(1854,7,25)",0
"(1854,7,26)",1
"(1854,7,27)",1
"(1854,7,28)",1
"(1854,7,29)",1
"(1854,7,30)",8
"(1854,7,31)",56
"(1854,8,1)",143
"(1854,8,2)",116
"(1854,8,3)",54
"(1854,8,4)",46
"(1854,8,5)",36
"(1854,8,6)",20
"(1854,8,7)",28
"(1854,8,8)",12
"(1854,8,9)",11
"(1854,8,10)",5
"(1854,8,11)",5
"(1854,8,12)",1
"(1854,8,13)",3
"(1854,8,14)",0
"(1854,8,15)",1
"(1854,8,16)",4
"(1854,8,17)",2
"(1854,8,18)",3
"(1854,8,19)",0
"(1854,8,20)",0
"(1854,8,21)",2
"(1854,8,22)",1
"(1854,8,23)",1
"(1854,8,24)",1
"(1854,8,25)",1
"(1854,8,26)",1
"(1854,8,27)",1
"(1854,8,28)",0
"(1854,8,29)",0
 ,
